from,to,average,threshold,collusion
Yugoslavia,Belgium,1.5555555555555556,5,FALSE
Yugoslavia,Cyprus,5.125,5,TRUE
Yugoslavia,Denmark,0.7777777777777778,5.00555555555555,FALSE
Yugoslavia,Finland,1.8888888888888888,5,FALSE
Yugoslavia,France,4.444444444444445,4.888888888888889,FALSE
Yugoslavia,Germany,1.7777777777777777,5.222222222222222,FALSE
Yugoslavia,Greece,2.2857142857142856,5.111111111111111,FALSE
Yugoslavia,Israel,5.375,5,TRUE
Yugoslavia,Italy,5.75,4.888888888888889,TRUE
Yugoslavia,Luxembourg,3.3333333333333335,5,FALSE
Yugoslavia,Norway,1.2222222222222223,5.111111111111111,FALSE
Yugoslavia,Portugal,1.5555555555555556,4.888888888888889,FALSE
Yugoslavia,Spain,2.3333333333333335,5,FALSE
Yugoslavia,Sweden,3.7777777777777777,5,FALSE
Yugoslavia,Switzerland,3.5555555555555554,4.888888888888889,FALSE
Yugoslavia,Netherlands,3.375,5.111111111111111,FALSE
Yugoslavia,Turkey,4.333333333333333,5.116666666666662,FALSE
Yugoslavia,United Kingdom,2.111111111111111,5,FALSE
Austria,Ireland,8.11111111111111,5.0049999999999955,TRUE
Belgium,Ireland,6.777777777777778,4.8,TRUE
Cyprus,Ireland,3.75,5.111111111111111,FALSE
Denmark,Ireland,6.111111111111111,5,TRUE
Finland,Ireland,5.111111111111111,5,TRUE
France,Ireland,2.3333333333333335,5.1,FALSE
Germany,Ireland,5.555555555555555,4.9,TRUE
Ireland,Austria,2.2222222222222223,4.888888888888889,FALSE
Ireland,Belgium,2,5.116666666666662,FALSE
Ireland,Cyprus,3.25,5,FALSE
Ireland,Denmark,4,5.222222222222222,FALSE
Ireland,Finland,2,5.111111111111111,FALSE
Ireland,France,4,5,FALSE
Ireland,Germany,4.333333333333333,5,FALSE
Ireland,Italy,4.25,5,FALSE
Ireland,Luxembourg,2.6666666666666665,4.888888888888889,FALSE
Ireland,Norway,3.7777777777777777,5,FALSE
Ireland,Portugal,0,4.8944444444444395,FALSE
Ireland,Spain,2.2222222222222223,5.111111111111111,FALSE
Ireland,Sweden,3.3333333333333335,5.111111111111111,FALSE
Ireland,Switzerland,2.5555555555555554,5.111111111111111,FALSE
Ireland,Netherlands,3.5714285714285716,5,FALSE
Ireland,Turkey,1.3333333333333333,5.111111111111111,FALSE
Ireland,United Kingdom,4.444444444444445,5.111111111111111,FALSE
Ireland,Yugoslavia,3.5,5,FALSE
Italy,Ireland,5.125,5,TRUE
Luxembourg,Ireland,4.888888888888889,5.2,FALSE
Norway,Ireland,4.666666666666667,4.9,FALSE
Portugal,Ireland,4.555555555555555,5.1,FALSE
Spain,Ireland,6.555555555555555,4.8,TRUE
Sweden,Ireland,7.444444444444445,5.2,TRUE
Switzerland,Ireland,5.222222222222222,4.9,TRUE
Netherlands,Ireland,6.428571428571429,5.125,TRUE
Turkey,Ireland,6.666666666666667,4.8,TRUE
United Kingdom,Ireland,5.333333333333333,5,TRUE
Yugoslavia,Ireland,2.875,5.111111111111111,FALSE
Greece,Ireland,2.7142857142857144,5,FALSE
Ireland,Greece,0.14285714285714285,5,FALSE
Ireland,Israel,3.625,5.116666666666662,FALSE
Israel,Ireland,2.375,5.111111111111111,FALSE
Austria,Iceland,2.4285714285714284,5,FALSE
Belgium,Iceland,2.5714285714285716,5,FALSE
Cyprus,Iceland,0.6666666666666666,5.111111111111111,FALSE
Denmark,Iceland,2.7142857142857144,4.904999999999996,FALSE
Finland,Iceland,1,4.9,FALSE
France,Iceland,0.2857142857142857,4.9,FALSE
Germany,Iceland,3,5,FALSE
Iceland,Austria,2,5.142857142857143,FALSE
Iceland,Belgium,1.5714285714285714,5.428571428571429,FALSE
Iceland,Cyprus,3.5,5.571428571428571,FALSE
Iceland,Denmark,6.714285714285714,5.428571428571429,TRUE
Iceland,Finland,1.7142857142857142,5.428571428571429,FALSE
Iceland,France,3.2857142857142856,5.285714285714286,FALSE
Iceland,Germany,3.4285714285714284,5.285714285714286,FALSE
Iceland,Ireland,3.2857142857142856,5.428571428571429,FALSE
Iceland,Israel,3.7142857142857144,5.285714285714286,FALSE
Iceland,Luxembourg,1.2857142857142858,5.142857142857143,FALSE
Iceland,Norway,2.2857142857142856,5.285714285714286,FALSE
Iceland,Portugal,1.1428571428571428,5.285714285714286,FALSE
Iceland,Spain,1.4285714285714286,5.285714285714286,FALSE
Iceland,Sweden,5.285714285714286,5.142857142857143,TRUE
Iceland,Switzerland,5.142857142857143,5.428571428571429,FALSE
Iceland,Netherlands,0.5,5.149999999999993,FALSE
Iceland,Turkey,0.2857142857142857,5.428571428571429,FALSE
Iceland,United Kingdom,0.7142857142857143,5.285714285714286,FALSE
Iceland,Yugoslavia,6.857142857142857,5.2928571428571365,TRUE
Ireland,Iceland,1,5.222222222222222,FALSE
Israel,Iceland,1.7142857142857142,5,FALSE
Luxembourg,Iceland,1.8571428571428572,5.1,FALSE
Norway,Iceland,2.142857142857143,5,FALSE
Portugal,Iceland,3.7142857142857144,4.9,FALSE
Spain,Iceland,3.142857142857143,5,FALSE
Sweden,Iceland,3.857142857142857,4.9,FALSE
Switzerland,Iceland,2,5.1,FALSE
Netherlands,Iceland,1.8333333333333333,5.25,FALSE
